4195A Spectrum Analyzer 2021/01/12 18:32:27,Commercial Radio FM Band,,
N,FREQUENCY [ Hz ],DBm,Phase
269,103400000.000000,-8.600930e+01,4.361940e+01
270,103450000.000000,-8.704940e+01,4.515620e+01
271,103500000.000000,-8.765570e+01,4.665780e+01
272,103550000.000000,-8.391660e+01,4.811450e+01
273,103600000.000000,-8.509750e+01,4.959040e+01
274,103650000.000000,-8.523250e+01,5.107870e+01
275,103700000.000000,-8.178660e+01,5.258900e+01
276,103750000.000000,-8.820300e+01,5.420450e+01
277,103800000.000000,-8.422390e+01,5.563350e+01
278,103850000.000000,-8.061470e+01,5.708500e+01
279,103900000.000000,-8.514290e+01,5.860690e+01
280,103950000.000000,-8.005930e+01,6.009430e+01
281,104000000.000000,-8.266430e+01,6.158550e+01
282,104050000.000000,-8.174020e+01,6.310390e+01
283,104100000.000000,-8.993520e+01,6.462910e+01
284,104150000.000000,-8.211170e+01,6.629540e+01
285,104200000.000000,-8.278140e+01,6.777920e+01
286,104250000.000000,-8.359380e+01,6.921230e+01
287,104300000.000000,-8.465240e+01,7.076160e+01
288,104350000.000000,-8.433730e+01,7.220730e+01
289,104400000.000000,-8.419190e+01,7.367150e+01
290,104450000.000000,-8.145620e+01,7.533160e+01
291,104500000.000000,-7.982790e+01,7.677390e+01
292,104550000.000000,-8.243690e+01,7.829310e+01
293,104600000.000000,-8.837940e+01,7.997710e+01
294,104650000.000000,-8.329460e+01,8.139300e+01
295,104700000.000000,-8.200400e+01,8.296660e+01
296,104750000.000000,-8.389240e+01,8.441190e+01
297,104800000.000000,-8.724970e+01,8.598080e+01
298,104850000.000000,-8.390040e+01,8.745930e+01
299,104900000.000000,-8.499860e+01,8.903930e+01
300,104950000.000000,-8.420970e+01,9.050810e+01
301,105000000.000000,-8.373810e+01,9.208140e+01
302,105050000.000000,-8.297580e+01,9.374030e+01
303,105100000.000000,-8.252870e+01,9.526130e+01
304,105150000.000000,-8.370000e+01,9.682450e+01
305,105200000.000000,-8.366110e+01,9.834550e+01
306,105250000.000000,-8.832550e+01,9.983200e+01
307,105300000.000000,-8.424690e+01,1.014120e+02
308,105350000.000000,-8.474100e+01,1.029150e+02
309,105400000.000000,-8.407770e+01,1.044040e+02
310,105450000.000000,-8.462330e+01,1.060360e+02
311,105500000.000000,-8.926760e+01,1.075700e+02
312,105550000.000000,-8.350550e+01,1.091750e+02
313,105600000.000000,-8.190720e+01,1.107600e+02
314,105650000.000000,-8.512820e+01,1.123330e+02
315,105700000.000000,-8.556870e+01,1.137560e+02
316,105750000.000000,-8.521710e+01,1.153370e+02
317,105800000.000000,-8.330820e+01,1.169790e+02
318,105850000.000000,-8.357900e+01,1.183800e+02
319,105900000.000000,-8.330660e+01,1.199540e+02
